1993,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,23/07/2018,Time,13:47:01,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28242,12.3,1.64E-12,,,,,,
1,00:00:28,28242,12.35,1.56E-12,,,,,,
1,00:00:28,28242,12.4,1.13E-12,,,,,,
1,00:00:28,28242,12.45,1.02E-12,,,,,,
1,00:00:28,28242,12.5,5.64E-13,,,,,,
1,00:00:28,28242,12.55,5.91E-13,,,,,,
1,00:00:28,28242,12.6,6.18E-13,,,,,,
1,00:00:28,28242,12.65,9.14E-13,,,,,,
1,00:00:28,28242,12.7,8.60E-13,,,,,,
1,00:00:28,28242,12.75,6.99E-13,,,,,,
1,00:00:28,28242,12.8,1.08E-12,,,,,,
1,00:00:28,28242,12.85,9.41E-13,,,,,,
1,00:00:28,28242,12.9,6.99E-13,,,,,,
1,00:00:28,28242,12.95,8.87E-13,,,,,,
1,00:00:28,28242,13,8.60E-13,,,,,,
1,00:00:28,28242,13.05,8.87E-13,,,,,,
1,00:00:28,28242,13.1,1.02E-12,,,,,,
1,00:00:28,28242,13.15,8.33E-13,,,,,,
1,00:00:28,28242,13.2,8.33E-13,,,,,,
1,00:00:28,28242,13.25,6.18E-13,,,,,,
1,00:00:28,28242,13.3,8.06E-13,,,,,,
1,00:00:28,28242,13.35,8.06E-13,,,,,,
1,00:00:28,28242,13.4,1.13E-12,,,,,,
1,00:00:28,28242,13.45,8.33E-13,,,,,,
1,00:00:28,28242,13.5,1.10E-12,,,,,,
1,00:00:28,28242,13.55,7.53E-13,,,,,,
1,00:00:28,28242,13.6,8.06E-13,,,,,,
1,00:00:28,28242,13.65,8.60E-13,,,,,,
1,00:00:28,28242,13.7,1.10E-12,,,,,,
1,00:00:28,28242,13.75,1.05E-12,,,,,,
1,00:00:28,28242,13.8,1.13E-12,,,,,,
1,00:00:28,28242,13.85,1.10E-12,,,,,,
1,00:00:28,28242,13.9,1.05E-12,,,,,,
1,00:00:28,28242,13.95,1.05E-12,,,,,,
1,00:00:28,28242,14,1.29E-12,,,,,,
1,00:00:28,28242,14.05,1.21E-12,,,,,,
1,00:00:28,28242,14.1,1.16E-12,,,,,,
1,00:00:28,28242,14.15,1.08E-12,,,,,,
1,00:00:28,28242,14.2,1.13E-12,,,,,,
1,00:00:28,28242,14.25,1.18E-12,,,,,,
1,00:00:28,28242,14.3,9.41E-13,,,,,,
1,00:00:28,28242,14.35,9.94E-13,,,,,,
1,00:00:28,28242,14.4,1.13E-12,,,,,,
1,00:00:28,28242,14.45,1.02E-12,,,,,,
1,00:00:28,28242,14.5,1.08E-12,,,,,,
1,00:00:28,28242,14.55,9.94E-13,,,,,,
1,00:00:28,28242,14.6,7.26E-13,,,,,,
1,00:00:28,28242,14.65,1.18E-12,,,,,,
1,00:00:28,28242,14.7,1.37E-12,,,,,,
1,00:00:28,28242,14.75,1.26E-12,,,,,,
1,00:00:28,28242,14.8,1.29E-12,,,,,,
1,00:00:28,28242,14.85,1.18E-12,,,,,,
1,00:00:28,28242,14.9,1.24E-12,,,,,,
1,00:00:28,28242,14.95,9.68E-13,,,,,,
1,00:00:28,28242,15,9.94E-13,,,,,,
1,00:00:28,28242,15.05,1.05E-12,,,,,,
1,00:00:28,28242,15.1,1.67E-12,,,,,,
1,00:00:28,28242,15.15,1.08E-12,,,,,,
1,00:00:28,28242,15.2,1.29E-12,,,,,,
1,00:00:28,28242,15.25,1.24E-12,,,,,,
1,00:00:28,28242,15.3,1.18E-12,,,,,,
1,00:00:28,28242,15.35,1.05E-12,,,,,,
1,00:00:28,28242,15.4,9.41E-13,,,,,,
1,00:00:28,28242,15.45,1.13E-12,,,,,,
1,00:00:28,28242,15.5,1.02E-12,,,,,,
1,00:00:28,28242,15.55,1.21E-12,,,,,,
1,00:00:28,28242,15.6,1.16E-12,,,,,,
1,00:00:28,28242,15.65,1.48E-12,,,,,,
1,00:00:28,28242,15.7,1.67E-12,,,,,,
1,00:00:28,28242,15.75,2.07E-12,,,,,,
1,00:00:28,28242,15.8,2.74E-12,,,,,,
1,00:00:28,28242,15.85,2.93E-12,,,,,,
