,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,15/05/2018,Time,10:54:05,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28602,18.75,2.86E-10,,,,,,
1,00:00:28,28602,18.8,3.31E-10,,,,,,
1,00:00:28,28602,18.85,3.64E-10,,,,,,
1,00:00:28,28602,18.9,3.79E-10,,,,,,
1,00:00:28,28602,18.95,3.95E-10,,,,,,
1,00:00:28,28602,19,3.99E-10,,,,,,
1,00:00:28,28602,19.05,3.87E-10,,,,,,
1,00:00:28,28602,19.1,3.73E-10,,,,,,
1,00:00:28,28602,19.15,3.54E-10,,,,,,
1,00:00:28,28602,19.2,3.46E-10,,,,,,
1,00:00:28,28602,19.25,3.15E-10,,,,,,
1,00:00:28,28602,19.3,2.64E-10,,,,,,
1,00:00:28,28602,19.35,2.10E-10,,,,,,
1,00:00:28,28602,19.4,1.11E-10,,,,,,
1,00:00:28,28602,19.45,3.95E-12,,,,,,
1,00:00:28,28602,19.5,2.15E-12,,,,,,
1,00:00:28,28602,19.55,3.36E-12,,,,,,
1,00:00:28,28602,19.6,4.38E-12,,,,,,
1,00:00:28,28602,19.65,3.68E-11,,,,,,
1,00:00:28,28602,19.7,6.51E-11,,,,,,
1,00:00:28,28602,19.75,8.06E-11,,,,,,
1,00:00:28,28602,19.8,9.47E-11,,,,,,
1,00:00:28,28602,19.85,1.02E-10,,,,,,
1,00:00:28,28602,19.9,1.05E-10,,,,,,
1,00:00:28,28602,19.95,1.08E-10,,,,,,
1,00:00:28,28602,20,1.09E-10,,,,,,
1,00:00:28,28602,20.05,1.05E-10,,,,,,
1,00:00:28,28602,20.1,9.99E-11,,,,,,
1,00:00:28,28602,20.15,9.70E-11,,,,,,
1,00:00:28,28602,20.2,9.51E-11,,,,,,
1,00:00:28,28602,20.25,8.56E-11,,,,,,
1,00:00:28,28602,20.3,7.24E-11,,,,,,
1,00:00:28,28602,20.35,5.60E-11,,,,,,
1,00:00:28,28602,20.4,2.82E-11,,,,,,
1,00:00:28,28602,20.45,1.61E-12,,,,,,
1,00:00:28,28602,20.5,1.13E-12,,,,,,
1,00:00:28,28602,20.55,1.24E-12,,,,,,
1,00:00:28,28602,20.6,1.13E-12,,,,,,
1,00:00:28,28602,20.65,2.12E-12,,,,,,
1,00:00:28,28602,20.7,2.31E-12,,,,,,
1,00:00:28,28602,20.75,2.45E-12,,,,,,
1,00:00:28,28602,20.8,2.93E-12,,,,,,
1,00:00:28,28602,20.85,3.04E-12,,,,,,
1,00:00:28,28602,20.9,3.33E-12,,,,,,
1,00:00:28,28602,20.95,3.06E-12,,,,,,
1,00:00:28,28602,21,2.58E-12,,,,,,
1,00:00:28,28602,21.05,2.69E-12,,,,,,
1,00:00:28,28602,21.1,2.85E-12,,,,,,
1,00:00:28,28602,21.15,3.01E-12,,,,,,
1,00:00:28,28602,21.2,2.50E-12,,,,,,
1,00:00:28,28602,21.25,2.96E-12,,,,,,
1,00:00:28,28602,21.3,2.18E-12,,,,,,
1,00:00:28,28602,21.35,2.31E-12,,,,,,
1,00:00:28,28602,21.4,1.37E-12,,,,,,
1,00:00:28,28602,21.45,5.11E-13,,,,,,
1,00:00:28,28602,21.5,1.40E-12,,,,,,
1,00:00:28,28602,21.55,3.76E-12,,,,,,
1,00:00:28,28602,21.6,2.58E-11,,,,,,
1,00:00:28,28602,21.65,7.10E-11,,,,,,
1,00:00:28,28602,21.7,9.78E-11,,,,,,
1,00:00:28,28602,21.75,1.14E-10,,,,,,
1,00:00:28,28602,21.8,1.28E-10,,,,,,
1,00:00:28,28602,21.85,1.34E-10,,,,,,
1,00:00:28,28602,21.9,1.38E-10,,,,,,
